obfuscated,deobfuscated
func_70043_V,updateRiderPosition
func_70044_A,setOnFireFromLava
func_70045_F,isImmuneToFire
func_70046_E,getBoundingBox
func_70047_e,getEyeHeight
func_70048_i,pushOutOfBlocks
func_70049_a,newFloatNBTList
func_70050_g,setAir
func_70051_ag,isSprinting
func_70052_a,setFlag
func_70053_R,getShadowSize
func_70054_a,dropItemWithOffset
func_70055_a,isInsideOfMaterial
func_70056_a,setPositionAndRotation2
func_70057_ab,performHurtAnimation
func_70058_J,handleLavaMovement
func_70059_ac,updateCloak
func_70060_a,moveFlying
func_70061_h,unmountEntity
func_70062_b,setCurrentItemOrArmor
func_70063_aa,setInPortal
func_70064_a,updateFallState
func_70065_x,preparePlayerToSpawn
func_70066_B,extinguish
func_70067_L,canBeCollidedWith
func_70068_e,getDistanceSqToEntity
func_70069_a,fall
func_70070_b,getBrightnessForRender
func_70071_h_,onUpdate
func_70072_I,handleWaterMovement
func_70073_O,getTexture
func_70074_a,onKillEntity
func_70075_an,canAttackWithItem
func_70076_C,kill
func_70077_a,onStruckByLightning
func_70078_a,mountEntity
func_70079_am,getRotationYawHead
func_70080_a,setPositionAndRotation
func_70081_e,dealFireDamage
func_70082_c,setAngles
func_70083_f,getFlag
func_70084_c,addToPlayerScore
func_70085_c,interact
func_70086_ai,getAir
func_70087_a,newDoubleNBTList
func_70088_a,entityInit
func_70089_S,isEntityAlive
func_70090_H,isInWater
func_70091_d,moveEntity
func_70092_e,getDistanceSq
func_70093_af,isSneaking
func_70094_T,isEntityInsideOpaqueBlock
func_70095_a,setSneaking
func_70096_w,getDataWatcher
func_70097_a,attackEntityFrom
func_70098_U,updateRidden
func_70099_a,entityDropItem
func_70100_b_,onCollideWithPlayer
func_70101_b,setRotation
func_70102_a,isInRangeToRenderVec3D
func_70103_a,handleHealthUpdate
func_70104_M,canBePushed
func_70105_a,setSize
func_70106_y,setDead
func_70107_b,setPosition
func_70108_f,applyEntityCollision
func_70109_d,writeToNBT
func_70110_aj,setInWeb
func_70111_Y,getCollisionBorderSize
func_70112_a,isInRangeToRenderDist
func_70113_ah,isEating
func_70114_g,getCollisionBox
func_70115_ae,isRiding
func_70184_a,onImpact
func_70185_h,getGravityVelocity
func_70186_c,setThrowableHeading
func_70196_i,getPotionDamage
func_70198_d,catchFish
func_70199_c,calculateVelocity
func_70220_a,moveTowards
func_70227_a,onImpact
func_70239_b,setDamage
func_70240_a,setKnockbackStrength
func_70241_g,getIsCritical
func_70242_d,getDamage
func_70243_d,setIsCritical
func_70265_b,setTimeSinceHit
func_70266_a,setDamageTaken
func_70267_i,getForwardDirection
func_70268_h,getTimeSinceHit
func_70269_c,setForwardDirection
func_70271_g,getDamageTaken
func_70283_d,getWorld
func_70288_d,setAgeToCreativeDespawnTime
func_70289_a,combineItems
func_70295_k_,openChest
func_70296_d,onInventoryChanged
func_70297_j_,getInventoryStackLimit
func_70298_a,decrStackSize
func_70299_a,setInventorySlotContents
func_70300_a,isUseableByPlayer
func_70301_a,getStackInSlot
func_70302_i_,getSizeInventory
func_70303_b,getInvName
func_70304_b,getStackInSlotOnClosing
func_70305_f,closeChest
func_70306_a,addMapping
func_70307_a,readFromNBT
func_70308_a,setWorldObj
func_70310_b,writeToNBT
func_70311_o,getBlockType
func_70312_q,validate
func_70313_j,invalidate
func_70314_l,getWorldObj
func_70315_b,receiveClientEvent
func_70316_g,updateEntity
func_70317_c,createAndLoadEntity
func_70318_a,getDistanceFrom
func_70319_e,getDescriptionPacket
func_70320_p,isInvalid
func_70321_h,updateContainingBlockInfo
func_70322_n,getBlockMetadata
func_70332_d,getOffsetZ
func_70333_a,getProgress
func_70334_c,getOffsetY
func_70335_a,updatePushedObjects
func_70336_c,getPistonOrientation
func_70337_b,getOffsetX
func_70338_f,shouldRenderHead
func_70339_i,clearPistonTileEntity
func_70340_a,getStoredBlockID
func_70341_b,isExtending
func_70350_k,canBrew
func_70351_i,getFilledSlots
func_70352_b,getPotionResult
func_70353_r,brewPotions
func_70354_c,setBrewTime
func_70355_t_,getBrewTime
func_70360_a,addItem
func_70361_i,getRandomStackFromInventory
func_70364_a,openChest
func_70365_a,isUseableByPlayer
func_70366_b,closeChest
func_70397_c,getCookProgressScaled
func_70398_a,getItemBurnTime
func_70399_k,smeltItem
func_70400_i,isBurning
func_70401_b,isItemFuel
func_70402_r,canSmelt
func_70403_d,getBurnTimeRemainingScaled
func_70408_a,setEditable
func_70409_a,isEditable
func_70413_a,changePitch
func_70414_a,triggerNote
func_70418_i,checkForAdjacentChests
func_70429_k,decrementAnimations
func_70430_l,getTotalArmorValue
func_70431_c,hasItemStack
func_70432_d,storeItemStack
func_70433_a,setCurrentItem
func_70434_c,getInventorySlotContainItemAndDamage
func_70435_d,consumeInventoryItem
func_70436_m,dropAllItems
func_70437_b,setItemStack
func_70438_a,getStrVsBlock
func_70440_f,armorItemInSlot
func_70441_a,addItemStackToInventory
func_70442_a,writeToNBT
func_70443_b,readFromNBT
func_70444_a,getDamageVsEntity
func_70445_o,getItemStack
func_70446_h,getInventorySlotContainItem
func_70447_i,getFirstEmptyStack
func_70448_g,getCurrentItem
func_70449_g,damageArmor
func_70450_e,hasItem
func_70451_h,getHotbarSize
func_70452_e,storePartialItemStack
func_70453_c,changeCurrentItem
func_70454_b,canHarvestBlock
func_70455_b,copyInventory
func_70463_b,getStackInRowAndColumn
func_70468_h,getCurrentRecipe
func_70469_d,inventoryResetNeededOnSlotChange
func_70470_g,resetRecipeAndSlots
func_70471_c,setCurrentRecipeIndex
func_70485_a,setAssociatedChest
func_70486_a,loadInventoryFromNBT
func_70487_g,saveInventoryToNBT
func_70491_i,getDamage
func_70492_c,setDamage
func_70493_k,getRollingDirection
func_70494_i,setRollingDirection
func_70496_j,getRollingAmplitude
func_70497_h,setRollingAmplitude
func_70515_d,explode
func_70518_d,onValidSurface
func_70526_d,getXpValue
func_70527_a,getXPSplit
func_70528_g,getTextureByXP
func_70534_d,getRedColorF
func_70535_g,getBlueColorF
func_70536_a,setParticleTextureIndex
func_70537_b,getFXLayer
func_70538_b,setRBGColorF
func_70539_a,renderParticle
func_70541_f,multipleParticleScaleBy
func_70542_f,getGreenColorF
func_70543_e,multiplyVelocity
func_70589_b,setBaseSpellTextureIndex
func_70598_b,setHomeArea
func_70599_aP,getSoundVolume
func_70600_l,dropRareDrop
func_70601_bi,getCanSpawnHere
func_70602_aC,getHomePosition
func_70603_bj,getRenderSizeModifier
func_70604_c,setRevengeTarget
func_70605_aq,getMoveHelper
func_70606_j,setEntityHealth
func_70607_j,setLastAttackingEntity
func_70608_bn,isPlayerSleeping
func_70609_aI,onDeathUpdate
func_70610_aX,isMovementBlocked
func_70611_aB,isWithinHomeDistanceCurrentPosition
func_70612_e,moveEntityWithHeading
func_70613_aW,isClientWorld
func_70614_a,rayTrace
func_70615_aA,eatGrassBonus
func_70616_bs,getSpeedModifier
func_70617_f_,isOnLadder
func_70618_n,removePotionEffectClient
func_70619_bc,updateAITasks
func_70620_b,getItemIcon
func_70621_aR,getHurtSound
func_70622_aF,hasHome
func_70623_bb,despawnEntity
func_70624_b,setAttackTarget
func_70625_a,faceEntity
func_70626_be,updateEntityActionState
func_70627_aG,getTalkInterval
func_70628_a,dropFewItems
func_70629_bd,updateAITick
func_70630_aN,getHealth
func_70631_g_,isChild
func_70632_aY,isBlocking
func_70633_aT,getDropItemId
func_70634_a,setPositionAndUpdate
func_70635_at,getEntitySenses
func_70636_d,onLivingUpdate
func_70637_d,setJumping
func_70638_az,getAttackTarget
func_70639_aQ,getLivingSound
func_70640_aD,getMaximumHomeDistance
func_70641_bl,getMaxSpawnedInChunk
func_70642_aH,playLivingSound
func_70643_av,getAITarget
func_70644_a,isPotionActive
func_70645_a,onDeath
func_70646_bf,getVerticalFaceSpeed
func_70647_i,getSoundPitch
func_70648_aU,canBreatheUnderwater
func_70649_d,isWithinHomeDistance
func_70650_aV,isAIEnabled
func_70651_bq,getActivePotionEffects
func_70652_k,attackEntityAsMob
func_70653_a,knockBack
func_70654_ax,getAge
func_70655_b,applyArmorCalculations
func_70656_aK,spawnExplosionParticle
func_70657_f,setMoveForward
func_70658_aO,getTotalArmorValue
func_70659_e,setAIMoveSpeed
func_70660_b,getActivePotionEffect
func_70661_as,getNavigator
func_70662_br,isEntityUndead
func_70663_b,updateRotation
func_70664_aZ,jump
func_70665_d,damageEntity
func_70666_h,getPosition
func_70667_aM,getMaxHealth
func_70668_bt,getCreatureAttribute
func_70669_a,renderBrokenItemStack
func_70670_a,onNewPotionEffect
func_70671_ap,getLookHelper
func_70672_c,applyPotionDamageCalculations
func_70673_aS,getDeathSound
func_70674_bp,clearActivePotions
func_70675_k,damageArmor
func_70676_i,getLook
func_70677_aE,detachHome
func_70678_g,getSwingProgress
func_70679_bo,updatePotionEffects
func_70680_aw,getLastAttackingEntity
func_70681_au,getRNG
func_70682_h,decreaseAirSupply
func_70683_ar,getJumpHelper
func_70684_aJ,isPlayer
func_70685_l,canEntityBeSeen
func_70686_a,canAttackClass
func_70687_e,isPotionApplicable
func_70688_c,onFinishedPotionEffect
func_70689_ay,getAIMoveSpeed
func_70690_d,addPotionEffect
func_70691_i,heal
func_70692_ba,canDespawn
func_70693_a,getExperiencePoints
func_70694_bm,getHeldItem
func_70695_b,onChangedPotionEffect
func_70777_m,getEntityToAttack
func_70778_a,setPathToEntity
func_70779_j,updateWanderPath
func_70780_i,isMovementCeased
func_70781_l,hasPath
func_70782_k,findPlayerToAttack
func_70783_a,getBlockPathWeight
func_70784_b,setTarget
func_70785_a,attackEntity
func_70790_a,isCourseTraversable
func_70799_a,setSlimeSize
func_70800_m,canDamagePlayer
func_70801_i,getSlimeParticle
func_70802_j,createInstance
func_70803_o,getJumpSound
func_70804_p,makesSoundOnLand
func_70805_n,getAttackStrength
func_70806_k,getJumpDelay
func_70807_r,makesSoundOnJump
func_70809_q,getSlimeSize
func_70814_o,isValidLightLevel
func_70816_c,teleportToEntity
func_70817_b,setCarryingData
func_70818_a,setCarried
func_70819_e,setScreaming
func_70820_n,teleportRandomly
func_70821_d,shouldAttackPlayer
func_70822_p,getCarried
func_70823_r,isScreaming
func_70824_q,getCarryingData
func_70825_j,teleportTo
func_70829_a,setCreeperState
func_70830_n,getPowered
func_70831_j,getCreeperFlashIntensity
func_70832_p,getCreeperState
func_70835_c,becomeAngryAt
func_70839_e,setBesideClimbableBlock
func_70840_n,spiderScaleAmount
func_70841_p,isBesideClimbableBlock
func_70849_f,setPlayerCreated
func_70850_q,isPlayerCreated
func_70851_e,setHoldingRose
func_70852_n,getVillage
func_70853_p,getHoldRoseTick
func_70854_o,getAttackTimer
func_70873_a,setGrowingAge
func_70874_b,getGrowingAge
func_70875_t,resetInLove
func_70876_c,procreate
func_70877_b,isBreedingItem
func_70878_b,canMateWith
func_70879_a,spawnBabyAnimal
func_70880_s,isInLove
func_70891_b,setFleeceColor
func_70892_o,getSheared
func_70893_e,setSheared
func_70895_a,getRandomFleeceColor
func_70896_n,getFleeceColor
func_70900_e,setSaddled
func_70901_n,getSaddled
func_70902_q,getOwner
func_70903_f,setTamed
func_70904_g,setSitting
func_70905_p,getOwnerName
func_70906_o,isSitting
func_70908_e,playTameEffect
func_70909_n,isTamed
func_70910_a,setOwner
func_70912_b,setTameSkin
func_70913_u,getTameSkin
func_70915_j,getShadingWhileShaking
func_70916_h,setAngry
func_70917_k,getInterestedAngle
func_70919_bu,isAngry
func_70920_v,getTailRotation
func_70921_u,getWolfShaking
func_70923_f,getShakeAngle
func_70930_a,setRecipes
func_70931_l_,getCustomer
func_70932_a_,setCustomer
func_70933_a,useRecipe
func_70934_b,getRecipes
func_70938_b,setProfession
func_70939_f,setPlaying
func_70940_q,isTrading
func_70941_o,isMating
func_70942_a,generateRandomParticles
func_70943_c,getRandomCountForBlacksmithItem
func_70944_b,getRandomCountForItem
func_70945_p,isPlaying
func_70946_n,getProfession
func_70947_e,setMating
func_70948_a,addMerchantItem
func_70949_b,addBlacksmithItem
func_70950_c,addDefaultEquipmentAndRecipies
func_70951_a,getRandomSizedStack
func_70965_a,attackEntityFromPart
func_70967_k,setNewTarget
func_70968_i,getBossHealth
func_70969_j,updateDragonEnderCrystal
func_70970_a,collideWithEntities
func_70971_b,attackEntitiesInList
func_70972_a,destroyBlocksInAABB
func_70973_b,simplifyAngle
func_70974_a,getMovementOffsets
func_70975_a,createEnderPortal
func_70996_bM,shouldHeal
func_70997_bJ,getBedLocation
func_70998_m,interactWith
func_70999_a,wakeUpPlayer
func_71000_j,addMovementStat
func_71001_a,onItemPickup
func_71002_c,displayGUIEnchantment
func_71004_bE,respawnPlayer
func_71005_bN,getInventoryEnderChest
func_71006_a,displayGUIDispenser
func_71007_a,displayGUIChest
func_71008_a,setItemInUse
func_71009_b,onCriticalHit
func_71010_c,updateItemUse
func_71011_bu,getItemInUse
func_71012_a,joinEntityItemWithWorld
func_71014_a,displayGUIEditSign
func_71015_k,addMountedMovementStat
func_71016_p,sendPlayerAbilities
func_71017_a,displayGUIBrewingStand
func_71018_a,sleepInBedAt
func_71019_a,dropPlayerItemWithRandomChoice
func_71020_j,addExhaustion
func_71021_b,dropPlayerItem
func_71022_a,alertWolves
func_71023_q,addExperience
func_71024_bL,getFoodStats
func_71025_t,getTranslator
func_71026_bH,isPlayerFullyAsleep
func_71027_c,travelToDimension
func_71028_bD,destroyCurrentEquippedItem
func_71029_a,triggerAchievement
func_71030_a,displayGUIMerchant
func_71033_a,setGameType
func_71034_by,stopUsingItem
func_71035_c,addChatMessage
func_71036_o,onItemUseFinish
func_71037_bA,getScore
func_71038_i,swingItem
func_71039_bw,isUsingItem
func_71040_bB,dropOneItem
func_71041_bz,clearItemInUse
func_71042_a,displayGUIFurnace
func_71043_e,canEat
func_71044_o,collideWithPlayer
func_71045_bC,getCurrentEquippedItem
func_71047_c,onEnchantmentCritical
func_71048_c,displayGUIBook
func_71049_a,clonePlayer
func_71050_bK,xpBarCap
func_71051_bG,getBedOrientationInDegrees
func_71052_bv,getItemInUseCount
func_71053_j,closeScreen
func_71055_a,getCurrentPlayerStrVsBlock
func_71056_a,verifyRespawnCoordinates
func_71057_bx,getItemInUseDuration
func_71058_b,displayGUIWorkbench
func_71059_n,attackTargetEntityWithCurrentItem
func_71060_bI,getSleepTimer
func_71061_d_,resetHeight
func_71062_b,canHarvestBlock
func_71063_a,setSpawnChunk
func_71064_a,addStat
func_71065_l,isInBed
func_71110_a,sendContainerAndContentsToPlayer
func_71111_a,sendSlotContents
func_71112_a,sendProgressBarUpdate
func_71113_k,updateHeldItem
func_71114_r,getPlayerIP
func_71115_a,requestTexturePackLoad
func_71116_b,addSelfToInternalCraftingInventory
func_71117_bO,incrementWindowID
func_71118_n,setPlayerHealthUpdated
func_71119_a,sendTileEntityToPlayer
func_71120_a,sendContainerToPlayer
func_71121_q,getServerForPlayer
func_71122_b,updateFlyingState
func_71123_m,mountEntityAndWakeUp
func_71124_b,getCurrentItemOrArmor
func_71125_a,updateClientInfo
func_71126_v,getChatVisibility
func_71127_g,onUpdateEntity
func_71128_l,closeInventory
func_71150_b,setHealth
func_71151_f,getFOVMultiplier
func_71152_a,setXPStats
func_71153_f,isBlockTranslucent
func_71165_d,sendChatMessage
func_71166_b,sendMotionUpdates
func_71167_b,incrementStat
func_71187_D,getCommandManager
func_71188_g,setAllowPvp
func_71189_e,setHostname
func_71190_q,updateTimeLightAndEntities
func_71191_d,setBuildLimit
func_71192_d,setUserMessage
func_71193_K,allowSpawnMonsters
func_71194_c,canCreateBonusChest
func_71195_b_,getUserMessage
func_71196_a,getServerConfigurationManager
func_71197_b,startServer
func_71198_k,logDebug
func_71199_h,isHardcore
func_71200_ad,serverIsInRunLoop
func_71201_j,logSevere
func_71202_P,getTexturePack
func_71203_ab,getConfigurationManager
func_71204_b,setDemo
func_71205_p,setMOTD
func_71206_a,shareToLAN
func_71207_Z,getBuildLimit
func_71208_b,setServerPort
func_71209_f,getFile
func_71210_a,setConfigurationManager
func_71211_k,getServerHostname
func_71212_ac,getNetworkThread
func_71213_z,getAllUsernames
func_71214_G,getServerOwner
func_71215_F,getServerPort
func_71216_a_,outputPercentRemaining
func_71217_p,tick
func_71218_a,worldServerForDimension
func_71219_W,isPVPEnabled
func_71220_V,getCanSpawnNPCs
func_71221_J,getWorldName
func_71222_d,initialWorldChunkLoad
func_71223_ag,enableProfiling
func_71224_l,setServerOwner
func_71225_e,canStructuresSpawn
func_71226_c,setDifficultyForAllWorlds
func_71227_R,textureSize
func_71228_a,finalTick
func_71229_d,setOnlineMode
func_71230_b,addServerInfoToCrashReport
func_71231_X,isFlightAllowed
func_71232_g,getDifficulty
func_71233_x,getCurrentPlayerCount
func_71234_u,getPort
func_71235_a,setGameType
func_71236_h,logWarning
func_71237_c,convertMapIfNeeded
func_71238_n,getDataDirectory
func_71239_B,isDebuggingEnabled
func_71240_o,systemExitNow
func_71241_aa,isServerStopped
func_71242_L,isDemo
func_71243_i,clearCurrentTask
func_71244_g,logInfo
func_71245_h,setAllowFlight
func_71246_n,setWorldName
func_71247_a,loadAllWorlds
func_71248_a,getPossibleCompletions
func_71249_w,getMinecraftVersion
func_71250_E,getKeyPair
func_71251_e,setCanSpawnAnimals
func_71252_i,executeCommand
func_71253_a,setKeyPair
func_71254_M,getActiveAnvilConverter
func_71255_r,getAllowNether
func_71256_s,startServerThread
func_71257_f,setCanSpawnNPCs
func_71258_A,getPlugins
func_71259_af,getTickCounter
func_71260_j,stopServer
func_71261_m,setFolderName
func_71262_S,isDedicatedServer
func_71263_m,initiateShutdown
func_71264_H,isSinglePlayer
func_71265_f,getGameType
func_71266_T,isServerInOnlineMode
func_71267_a,saveAllWorlds
func_71268_U,getCanSpawnAnimals
func_71269_o,setTexturePack
func_71270_I,getFolderName
func_71272_O,deleteWorldAndStopServer
func_71273_Y,getMOTD
func_71274_v,getServerMOTD
func_71275_y,getMaxPlayers
func_71276_C,getServer
func_71277_t,getHostname
func_71278_l,isServerRunning
func_71279_ae,getGuiEnabled
func_71326_a,saveProperties
func_71327_a,getIntProperty
func_71328_a,setProperty
func_71329_c,getSettingsFilename
func_71330_a,getStringProperty
func_71331_a,addPendingCommand
func_71332_a,getBooleanProperty
func_71333_ah,executePendingCommands
func_71334_ai,getDedicatedPlayerList
func_71343_a,getServerListeningThread
func_71344_c,getPublic
func_71351_a,setServerData
func_71352_k,toggleFullscreen
func_71353_a,loadWorld
func_71354_a,setDimensionAndSpawnPlayer
func_71355_q,isDemo
func_71356_B,isSingleplayer
func_71357_I,loadScreen
func_71358_L,forceReload
func_71359_d,getSaveLoader
func_71360_a,installResource
func_71361_d,checkGLError
func_71362_z,getServerData
func_71363_D,stopIntegratedServer
func_71364_i,setIngameNotInFocus
func_71365_K,screenshotListener
func_71366_a,displayDebugInfo
func_71367_a,setServer
func_71369_N,getGLMaximumTextureSize
func_71370_a,resize
func_71371_a,launchIntegratedServer
func_71372_G,isFullScreen
func_71373_a,displayGuiScreen
func_71374_p,debugInfoEntities
func_71375_t,isFancyGraphicsEnabled
func_71376_c,getOs
func_71377_b,displayCrashReport
func_71378_E,getPlayerUsageSnooper
func_71379_u,isAmbientOcclusionEnabled
func_71380_b,getMinecraftDir
func_71381_h,setIngameFocus
func_71382_s,isGuiEnabled
func_71383_b,updateDebugProfilerName
func_71384_a,startGame
func_71385_j,displayInGameMenu
func_71386_F,getSystemTime
func_71387_A,isIntegratedServerRunning
func_71388_o,getWorldProviderName
func_71389_H,startTimerHackThread
func_71390_a,setDemo
func_71391_r,getNetHandler
func_71392_a,scaledTessellator
func_71393_m,debugInfoRenders
func_71394_a,getAppDir
func_71395_y,scheduleTexturePackRefresh
func_71396_d,addGraphicsAndWorldToCrashReport
func_71397_M,clickMiddleMouseButton
func_71398_f,freeMemory
func_71399_a,sendClickBlockToController
func_71400_g,shutdown
func_71401_C,getIntegratedServer
func_71402_c,clickMouse
func_71403_a,loadWorld
func_71404_a,crashed
func_71405_e,shutdownMinecraftApplet
func_71406_c,displayCrashReportInternal
func_71407_l,runTick
func_71408_n,getEntityDebug
func_71409_c,handleClientCommand
func_71410_x,getMinecraft
func_71411_J,runGameLoop
func_71479_a,startMainThread
func_71480_b,shutdown
func_71485_a,getMemoryInfoAsString
func_71487_a,getJVMFlagsAsString
func_71489_a,getJavaInfoAsString
func_71491_a,getJavaVMInfoAsString
func_71493_a,minecraftVersion
func_71495_a,getOsAsString
func_71497_f,getFile
func_71498_d,getCauseStackTraceOrString
func_71499_a,addCrashSectionThrowable
func_71500_a,addCrashSectionCallable
func_71501_a,getDescription
func_71502_e,getCompleteReport
func_71503_h,getWittyComment
func_71504_g,populateEnvironment
func_71505_b,getCrashCause
func_71506_a,getSectionsInStringBuilder
func_71507_a,addCrashSection
func_71508_a,saveToFile
func_71514_a,getCommandAliases
func_71515_b,processCommand
func_71516_a,addTabCompletionOptions
func_71517_b,getCommandName
func_71518_a,getCommandUsage
func_71519_b,canCommandSenderUseCommand
func_71521_c,getCommandSenderAsPlayer
func_71522_a,notifyAdmins
func_71523_a,doesStringStartWith
func_71524_a,notifyAdmins
func_71525_a,compareTo
func_71526_a,parseInt
func_71527_a,joinNiceString
func_71528_a,parseIntWithMin
func_71529_a,setAdminCommander
func_71530_a,getListOfStringsMatchingLastWord
func_71531_a,getListOfStringsFromIterableMatchingLastWord
func_71532_a,parseIntBounded
func_71534_d,getSortedPossibleCommands
func_71535_c,getCommands
func_71536_c,getPlayers
func_71538_c,getListOfPlayerUsernames
func_71539_b,getGameModeFromCommand
func_71541_a,setGameType
func_71542_c,getAllUsernames
func_71544_a,banIP
func_71546_a,getProfileDump
func_71547_b,getProfilerResults
func_71548_a,saveProfilerResults
func_71549_c,getWittyComment
func_71552_a,setTime
func_71553_b,addTime
func_71554_c,toggleDownfall
func_71555_a,getCommands
func_71556_a,executeCommand
func_71557_a,getPossibleCommands
func_71558_b,getPossibleCommands
func_71559_a,dropFirstString
func_71560_a,registerCommand
func_71563_a,notifyAdmins
func_71564_a,getAllowedCharacters
func_71565_a,filerAllowedCharacters
func_71566_a,isAllowedCharacter
func_71569_e,getDistanceSquared
func_71570_a,compareChunkCoordinate
func_71571_b,set
func_71575_a,getCrashReport
func_71606_a,toASN1Primitive
func_71607_a,asn1Equals
func_71608_a,isValidIdentifier
func_71609_b,getId
func_71612_a,branch
func_71742_a,getType
func_71744_a,stopListening
func_71745_a,addPlayer
func_71746_d,getServer
func_71747_b,networkTick
func_71752_f,isGamePaused
func_71753_e,getIntegratedServer
func_71762_c,getDedicatedServer
func_71764_a,addPendingConnection
func_71765_d,getMyPort
func_71766_a,processPendingConnections
func_71767_c,getInetAddress
func_71779_a,getIV
func_71780_b,getParameters
func_71783_a,getKey
func_71789_b,getOutputSize
func_71790_a,doFinal
func_71791_a,processByte
func_71792_a,getBlockSize
func_71793_a,getUpdateOutputSize
func_71794_b,reset
func_71802_a,getAlgorithmName
func_71803_c,reset
func_71804_b,getBlockSize
func_71805_a,init
func_71806_a,processBlock
func_71807_b,encryptBlock
func_71808_c,decryptBlock
func_71815_c,subWord
func_71816_a,unpackBlock
func_71817_a,FFmulX
func_71818_a,encryptBlock
func_71819_a,shift
func_71820_b,inv_mcol
func_71821_b,packBlock
func_71822_b,decryptBlock
func_71823_a,generateWorkingKey
func_71842_b,getStrength
func_71843_a,getRandom
func_71846_a,onBlockHarvested
func_71847_b,updateTick
func_71848_c,setHardness
func_71849_a,setCreativeTab
func_71850_a_,canPlaceBlockOnSide
func_71851_a,getBlockTextureFromSide
func_71852_a,breakBlock
func_71853_i,canProvidePower
func_71854_d,canBlockStay
func_71855_c,isProvidingStrongPower
func_71856_s_,getRenderBlockPass
func_71857_b,getRenderType
func_71858_a,getIcon
func_71859_p_,tickRate
func_71860_a,onBlockPlacedBy
func_71861_g,onBlockAdded
func_71862_a,randomDisplayTick
func_71863_a,onNeighborBlockChange
func_71864_b,setUnlocalizedName
func_71865_a,isProvidingWeakPower
func_71866_a,onFallenUpon
func_71867_k,onBlockDestroyedByExplosion
func_71868_h,setLightOpacity
func_71869_a,onEntityCollidedWithBlock
func_71870_f,getBlockBrightness
func_71871_a,addCollisionBoxesToList
func_71872_e,getCollisionBoundingBoxFromPool
func_71873_h,getDamageValue
func_71874_e,getMixedBrightnessForBlock
func_71875_q,setBlockUnbreakable
func_71876_u,getEnableStats
func_71877_c,shouldSideBeRendered
func_71878_a,collisionRayTrace
func_71879_a,getSubBlocks
func_71880_c_,createStackedBlock
func_71881_r,getTickRandomly
func_71882_w,getCreativeTabToDisplayOn
func_71883_b,onBlockEventReceived
func_71884_a,setStepSound
func_71885_a,idDropped
func_71886_c,renderAsNormalBlock
func_71887_s,hasTileEntity
func_71888_h,getAmbientOcclusionLightValue
func_71889_f_,getRenderColor
func_71890_c,isVecInsideXYBounds
func_71891_b,onEntityWalking
func_71892_f,fillWithRain
func_71893_a,harvestBlock
func_71894_b,setResistance
func_71895_b,getBlockTexture
func_71896_v,disableStats
func_71897_c,dropBlockAsItem
func_71898_d,onBlockDestroyedByPlayer
func_71899_b,damageDropped
func_71900_a,setLightValue
